# H_star t_star theta0 t_p x_tp_over_tosc Ea3_PT Ea3_noPT f_anh_PT f_anh_noPT xi_DM nsteps_PT nsteps_noPT
1 0.5 0.2618 5.1000000000e-01 3.4000000000e-01 3.3964357467e-02 2.5491166119e-02 2.7367856644e+00 4.0721658916e-01 1.3323971649e+00 3260 3270
1 0.5 0.2618 5.8447563695e-01 3.8965042463e-01 3.6266401571e-02 2.5491166119e-02 2.3819217719e+00 4.0721658916e-01 1.4227046892e+00 3260 3270
1 0.5 0.2618 6.6982700036e-01 4.4655133358e-01 3.9166278518e-02 2.5491166119e-02 2.0967226209e+00 4.0721658916e-01 1.5364647633e+00 3260 3270
1 0.5 0.2618 7.6764227977e-01 5.1176151985e-01 4.2810869565e-02 2.5491166119e-02 1.8680494427e+00 4.0721658916e-01 1.6794394327e+00 3260 3270
1 0.5 0.2618 8.7974158905e-01 5.8649439270e-01 4.7381012630e-02 2.5491166119e-02 1.6851722564e+00 4.0721658916e-01 1.8587228379e+00 3260 3270
1 0.5 0.2618 1.0082108345e+00 6.7214055635e-01 5.3098965468e-02 2.5491166119e-02 1.5393297640e+00 4.0721658916e-01 2.0830339899e+00 3260 3270
1 0.5 0.2618 1.1554405288e+00 7.7029368587e-01 6.0237509399e-02 2.5491166119e-02 1.4233714777e+00 4.0721658916e-01 2.3630739024e+00 3260 3270
1 0.5 0.2618 1.3241702726e+00 8.8278018173e-01 6.9131070715e-02 2.5491166119e-02 1.3314663039e+00 4.0721658916e-01 2.7119618770e+00 3260 3270
1 0.5 0.2618 1.5175397324e+00 1.0116931549e+00 8.0189333464e-02 2.5491166119e-02 1.2588649592e+00 4.0721658916e-01 3.1457695222e+00 3260 3270
1 0.5 0.2618 1.7391470621e+00 1.1594313747e+00 9.3913930343e-02 2.5491166119e-02 1.2017059252e+00 4.0721658916e-01 3.6841755259e+00 3260 3270
1 0.5 0.2618 1.9931158566e+00 1.3287439044e+00 1.1091894044e-01 2.5491166119e-02 1.1568566389e+00 4.0721658916e-01 4.3512697660e+00 3260 3270
1 0.5 0.2618 2.2841718819e+00 1.5227812546e+00 1.3195609732e-01 2.5491166119e-02 1.1217832171e+00 4.0721658916e-01 5.1765422068e+00 3260 3270
1 0.5 0.2618 2.6177310110e+00 1.7451540073e+00 1.5794583859e-01 2.5491166119e-02 1.0944434048e+00 4.0721658916e-01 6.1961009493e+00 3260 3270
1 0.5 0.2618 3.0000000000e+00 2.0000000000e+00 1.9001560231e-01 2.5491166119e-02 1.0731984281e+00 4.0721658916e-01 7.4541745725e+00 3260 3270
1 0.5 0.2618 3.9338926402e+00 2.6225950935e+00 2.7760501183e-01 2.5491166119e-02 1.0441579387e+00 4.0721658916e-01 1.0890243723e+01 3260 3270
1 0.5 0.2618 5.1585037683e+00 3.4390025122e+00 4.0994434949e-01 2.5491166119e-02 1.0268616244e+00 4.0721658916e-01 1.6081820172e+01 3260 3270
1 0.5 0.2618 6.7643333363e+00 4.5095555575e+00 6.0942816976e-01 2.5491166119e-02 1.0166177098e+00 4.0721658916e-01 2.3907426083e+01 3260 3270
1 0.5 0.2618 8.8700537092e+00 5.9133691395e+00 9.0968593555e-01 2.5491166119e-02 1.0105894341e+00 4.0721658916e-01 3.5686320951e+01 3260 3270
1 0.5 0.2618 1.1631279668e+01 7.7541864456e+00 1.3612245828e+00 2.5491166119e-02 1.0070735357e+00 4.0721658916e-01 5.3399855323e+01 3260 3270
1 0.5 0.2618 1.5252068495e+01 1.0168045663e+01 2.0398154382e+00 2.5491166119e-02 1.0050100422e+00 4.0721658916e-01 8.0020483513e+01 3260 3270
1 0.5 0.2618 2.0000000000e+01 1.3333333333e+01 3.0592894008e+00 2.5491166119e-02 1.0038023681e+00 4.0721658916e-01 1.2001370932e+02 3260 3270
1 0.5 0.2618 2.8853998118e+01 1.9235998745e+01 5.2966333830e+00 2.5491166119e-02 1.0029136958e+00 4.0721658916e-01 2.0778309467e+02 3260 3270
1 0.5 0.2618 4.1627660370e+01 2.7751773580e+01 9.1742752666e+00 2.5491166119e-02 1.0024700585e+00 4.0721658916e-01 3.5990017968e+02 3260 3270
1 0.5 0.2618 6.0056221699e+01 4.0037481133e+01 1.5893808393e+01 2.5491166119e-02 1.0022212605e+00 4.0721658916e-01 6.2350260159e+02 3260 3270
1 0.5 0.2618 8.6643105394e+01 5.7762070263e+01 2.7537265020e+01 2.5491166119e-02 1.0020570256e+00 4.0721658916e-01 1.0802669792e+03 3260 3270
1 0.5 0.2618 1.2500000000e+02 8.3333333333e+01 4.7708627083e+01 2.5491166119e-02 1.0018542546e+00 4.0721658916e-01 1.8715749158e+03 3260 3270
1 0.5 0.7854 5.1000000000e-01 3.4000000000e-01 3.1478691717e-01 2.4020130585e-01 2.9508706156e+00 4.4640313207e-01 1.3105129302e+00 3937 3947
1 0.5 0.7854 5.8447563695e-01 3.8965042463e-01 3.3495527897e-01 2.4020130585e-01 2.5593280994e+00 4.4640313207e-01 1.3944773438e+00 3937 3947
1 0.5 0.7854 6.6982700036e-01 4.4655133358e-01 3.6033835750e-01 2.4020130585e-01 2.2441675460e+00 4.4640313207e-01 1.5001515343e+00 3937 3947
1 0.5 0.7854 7.6764227977e-01 5.1176151985e-01 3.9221424964e-01 2.4020130585e-01 1.9910116251e+00 4.4640313207e-01 1.6328564420e+00 3937 3947
1 0.5 0.7854 8.7974158905e-01 5.8649439270e-01 4.3215703951e-01 2.4020130585e-01 1.7881241315e+00 4.4640313207e-01 1.7991452544e+00 3937 3947
1 0.5 0.7854 1.0082108345e+00 6.7214055635e-01 4.8210235229e-01 2.4020130585e-01 1.6259267185e+00 4.4640313207e-01 2.0070763170e+00 3937 3947
1 0.5 0.7854 1.1554405288e+00 7.7029368587e-01 5.4442735232e-01 2.4020130585e-01 1.4966053669e+00 4.4640313207e-01 2.2665461804e+00 3937 3947
1 0.5 0.7854 1.3241702726e+00 8.8278018173e-01 6.2204849311e-01 2.4020130585e-01 1.3937896948e+00 4.4640313207e-01 2.5896965502e+00 3937 3947
1 0.5 0.7854 1.5175397324e+00 1.0116931549e+00 7.1854112314e-01 2.4020130585e-01 1.3122913920e+00 4.4640313207e-01 2.9914122265e+00 3937 3947
1 0.5 0.7854 1.7391470621e+00 1.1594313747e+00 8.3828603122e-01 2.4020130585e-01 1.2478906356e+00 4.4640313207e-01 3.4899311986e+00 3937 3947
1 0.5 0.7854 1.9931158566e+00 1.3287439044e+00 9.8664925148e-01 2.4020130585e-01 1.1971614728e+00 4.4640313207e-01 4.1075932039e+00 3937 3947
