# H_star t_star theta0 t_p x_tp_over_tosc Ea3_PT Ea3_noPT f_anh_PT f_anh_noPT xi_DM nsteps_PT nsteps_noPT
1 0.5 0.2618 5.0100000000e-01 3.3400000000e-01 3.3700989676e-02 2.5490998574e-02 2.7890654979e+00 4.0721391266e-01 1.3220741266e+00 3263 3275
1 0.5 0.2618 5.1708037277e-01 3.4472024851e-01 3.4173362983e-02 2.5490998574e-02 2.6972629515e+00 4.0721391266e-01 1.3406051114e+00 3263 3275
1 0.5 0.2618 5.3367687006e-01 3.5578458004e-01 3.4671944221e-02 2.5490998574e-02 2.6099565166e+00 4.0721391266e-01 1.3601642211e+00 3263 3275
1 0.5 0.2618 5.5080605770e-01 3.6720403847e-01 3.5198122927e-02 2.5490998574e-02 2.5269351071e+00 4.0721391266e-01 1.3808059666e+00 3263 3275
1 0.5 0.2618 5.6848503321e-01 3.7899002214e-01 3.5753359426e-02 2.5490998574e-02 2.4479973835e+00 4.0721391266e-01 1.4025876358e+00 3263 3275
1 0.5 0.2618 5.8673144288e-01 3.9115429525e-01 3.6339227657e-02 2.5490998574e-02 2.3729538725e+00 4.0721391266e-01 1.4255709736e+00 3262 3275
1 0.5 0.2618 6.0556349939e-01 4.0370899960e-01 3.6957251985e-02 2.5490998574e-02 2.3016155523e+00 4.0721391266e-01 1.4498157801e+00 3262 3275
1 0.5 0.2618 6.2500000000e-01 4.1666666667e-01 3.7609163548e-02 2.5490998574e-02 2.2338103348e+00 4.0721391266e-01 1.4753899671e+00 3262 3275
1 0.5 0.2618 8.5531928615e-01 5.7021285743e-01 4.6350557763e-02 2.5490998574e-02 1.7196307987e+00 4.0721391266e-01 1.8183107903e+00 3261 3275
1 0.5 0.2618 1.1705137300e+00 7.8034248667e-01 6.1001113409e-02 2.5490998574e-02 1.4136621848e+00 4.0721391266e-01 2.3930452638e+00 3261 3275
1 0.5 0.2618 1.6018607488e+00 1.0679071658e+00 8.5282701474e-02 2.5490998574e-02 1.2345152428e+00 4.0721391266e-01 3.3456006529e+00 3260 3275
1 0.5 0.2618 2.1921638274e+00 1.4614425516e+00 1.2513385897e-01 2.5490998574e-02 1.1314567935e+00 4.0721391266e-01 4.9089429983e+00 3260 3275
1 0.5 0.2618 3.0000000000e+00 2.0000000000e+00 1.9001708037e-01 2.5490998574e-02 1.0732067762e+00 4.0721391266e-01 7.4542815502e+00 3260 3275
1 0.5 0.2618 4.3843276549e+00 2.9228851032e+00 3.2411707378e-01 2.5490998574e-02 1.0361438470e+00 4.0721391266e-01 1.2714961826e+01 3260 3275
1 0.5 0.2618 6.4074429951e+00 4.2716286634e+00 5.6274692759e-01 2.5490998574e-02 1.0182599284e+00 4.0721391266e-01 2.2076299834e+01 3260 3275
1 0.5 0.2618 9.3641098401e+00 6.2427398934e+00 9.8590170445e-01 2.5490998574e-02 1.0097329205e+00 4.0721391266e-01 3.8676464618e+01 3260 3275
1 0.5 0.2618 1.3685108578e+01 9.1234057189e+00 1.7348769002e+00 2.5490998574e-02 1.0057011358e+00 4.0721391266e-01 6.8058412665e+01 3260 3275
1 0.5 0.2618 2.0000000000e+01 1.3333333333e+01 3.0593045632e+00 2.5490998574e-02 1.0038073432e+00 4.0721391266e-01 1.2001509295e+02 3260 3275
1 0.5 0.2618 3.9487009717e+01 2.6324673144e+01 8.4764366030e+00 2.5490998574e-02 1.0025466627e+00 4.0721391266e-01 3.3252665949e+02 3260 3275
1 0.5 0.2618 7.7961196818e+01 5.1974131212e+01 2.3506941993e+01 2.5490998574e-02 1.0021922423e+00 4.0721391266e-01 9.2216638451e+02 3260 3275
1 0.5 0.2618 1.5392272681e+02 1.0261515121e+02 6.5202260359e+01 2.5490998574e-02 1.0020310431e+00 4.0721391266e-01 2.5578543017e+03 3260 3275
1 0.5 0.2618 3.0389741047e+02 2.0259827364e+02 1.8085146585e+02 2.5490998574e-02 1.0018534115e+00 4.0721391266e-01 7.0947187620e+03 3260 3275
1 0.5 0.2618 6.0000000000e+02 4.0000000000e+02 5.0158524137e+02 2.5490998574e-02 1.0015912484e+00 4.0721391266e-01 1.9676955373e+04 3260 3275
1 0.5 0.45 5.0100000000e-01 3.3400000000e-01 1.0027535614e-01 7.6150665790e-02 2.8404275670e+00 4.1637333667e-01 1.3168020936e+00 3478 3491
1 0.5 0.45 5.1708037277e-01 3.4472024851e-01 1.0166204481e-01 7.6150665790e-02 2.7464257074e+00 4.1637333667e-01 1.3350118973e+00 3477 3491
1 0.5 0.45 5.3367687006e-01 3.5578458004e-01 1.0312548225e-01 7.6150665790e-02 2.6570181202e+00 4.1637333667e-01 1.3542295550e+00 3477 3491
1 0.5 0.45 5.5080605770e-01 3.6720403847e-01 1.0466984264e-01 7.6150665790e-02 2.5719919441e+00 4.1637333667e-01 1.3745098819e+00 3477 3491
1 0.5 0.45 5.6848503321e-01 3.7899002214e-01 1.0629940260e-01 7.6150665790e-02 2.4911413209e+00 4.1637333667e-01 1.3959090376e+00 3477 3491
1 0.5 0.45 5.8673144288e-01 3.9115429525e-01 1.0801865063e-01 7.6150665790e-02 2.4142697809e+00 4.1637333667e-01 1.4184859647e+00 3477 3491
1 0.5 0.45 6.0556349939e-01 4.0370899960e-01 1.0983230143e-01 7.6150665790e-02 2.3411899089e+00 4.1637333667e-01 1.4423025759e+00 3477 3491
1 0.5 0.45 6.2500000000e-01 4.1666666667e-01 1.1174530485e-01 7.6150665790e-02 2.2717228858e+00 4.1637333667e-01 1.4674238720e+00 3477 3491
1 0.5 0.45 8.5531928615e-01 5.7021285743e-01 1.3738988272e-01 7.6150665790e-02 1.7446505440e+00 4.1637333667e-01 1.8041849181e+00 3476 3491
1 0.5 0.45 1.1705137300e+00 7.8034248667e-01 1.8035703011e-01 7.6150665790e-02 1.4305874191e+00 4.1637333667e-01 2.3684235487e+00 3475 3491
1 0.5 0.45 1.6018607488e+00 1.0679071658e+00 2.5155846412e-01 7.6150665790e-02 1.2463725898e+00 4.1637333667e-01 3.3034309222e+00 3475 3491
1 0.5 0.45 2.1921638274e+00 1.4614425516e+00 3.6841323376e-01 7.6150665790e-02 1.1401757655e+00 4.1637333667e-01 4.8379515785e+00 3475 3491
1 0.5 0.45 3.0000000000e+00 2.0000000000e+00 5.5868345087e-01 7.6150665790e-02 1.0800155776e+00 4.1637333667e-01 7.3365537263e+00 3475 3491
1 0.5 0.45 4.3843276549e+00 2.9228851032e+00 9.5198275218e-01 7.6150665790e-02 1.0416472467e+00 4.1637333667e-01 1.2501305698e+01 3475 3491
1 0.5 0.45 6.4074429951e+00 4.2716286634e+00 1.6519455085e+00 7.6150665790e-02 1.0230919922e+00 4.1637333667e-01 2.1693119704e+01 3475 3491
1 0.5 0.45 9.3641098401e+00 6.2427398934e+00 2.8932788516e+00 7.6150665790e-02 1.0142304340e+00 4.1637333667e-01 3.7994137301e+01 3475 3491
1 0.5 0.45 1.3685108578e+01 9.1234057189e+00 5.0905190727e+00 7.6150665790e-02 1.0100335326e+00 4.1637333667e-01 6.6847991674e+01 3475 3491
1 0.5 0.45 2.0000000000e+01 1.3333333333e+01 8.9760124157e+00 7.6150665790e-02 1.0080557373e+00 4.1637333667e-01 1.1787175230e+02 3475 3491
1 0.5 0.45 3.9487009717e+01 2.6324673144e+01 2.4868014717e+01 7.6150665790e-02 1.0067133792e+00 4.1637333667e-01 3.2656332626e+02 3475 3491
1 0.5 0.45 7.7961196818e+01 5.1974131212e+01 6.8958564477e+01 7.6150665790e-02 1.0062747156e+00 4.1637333667e-01 9.0555432131e+02 3475 3491
1 0.5 0.45 1.5392272681e+02 1.0261515121e+02 1.9124371698e+02 7.6150665790e-02 1.0059563765e+00 4.1637333667e-01 2.5113860135e+03 3475 3491
1 0.5 0.45 3.0389741047e+02 2.0259827364e+02 5.3029398768e+02 7.6150665790e-02 1.0054773658e+00 4.1637333667e-01 6.9637472264e+03 3475 3491
1 0.5 0.45 6.0000000000e+02 4.0000000000e+02 1.4700145316e+03 7.6150665790e-02 1.0047102824e+00 4.1637333667e-01 1.9304027303e+04 3475 3491
1 0.5 0.62 5.0100000000e-01 3.3400000000e-01 1.9222610167e-01 1.4676550083e-01 2.9124543351e+00 4.2923037450e-01 1.3097499112e+00 3697 3711
1 0.5 0.62 5.1708037277e-01 3.4472024851e-01 1.9483521969e-01 1.4676550083e-01 2.8153587337e+00 4.2923037450e-01 1.3275273725e+00 3697 3711
1 0.5 0.62 5.3367687006e-01 3.5578458004e-01 1.9758874323e-01 1.4676550083e-01 2.7230021419e+00 4.2923037450e-01 1.3462887539e+00 3697 3711
1 0.5 0.62 5.5080605770e-01 3.6720403847e-01 2.0049431499e-01 1.4676550083e-01 2.6351622218e+00 4.2923037450e-01 1.3660861296e+00 3697 3711
1 0.5 0.62 5.6848503321e-01 3.7899002214e-01 2.0355995825e-01 1.4676550083e-01 2.5516268010e+00 4.2923037450e-01 1.3869741669e+00 3697 3711
1 0.5 0.62 5.8673144288e-01 3.9115429525e-01 2.0679410137e-01 1.4676550083e-01 2.4721934854e+00 4.2923037450e-01 1.4090102933e+00 3697 3711
1 0.5 0.62 6.0556349939e-01 4.0370899960e-01 2.1020559418e-01 1.4676550083e-01 2.3966691718e+00 4.2923037450e-01 1.4322548078e+00 3697 3711
1 0.5 0.62 6.2500000000e-01 4.1666666667e-01 2.1380372805e-01 1.4676550083e-01 2.3248696206e+00 4.2923037450e-01 1.4567710180e+00 3697 3711
1 0.5 0.62 8.5531928615e-01 5.7021285743e-01 2.6202115289e-01 1.4676550083e-01 1.7797020918e+00 4.2923037450e-01 1.7853047986e+00 3696 3711
1 0.5 0.62 1.1705137300e+00 7.8034248667e-01 3.4277251526e-01 1.4676550083e-01 1.4542684350e+00 4.2923037450e-01 2.3355115019e+00 3695 3711
1 0.5 0.62 1.6018607488e+00 1.0679071658e+00 4.7655513333e-01 1.4676550083e-01 1.2629302546e+00 4.2923037450e-01 3.2470514572e+00 3695 3711
1 0.5 0.62 2.1921638274e+00 1.4614425516e+00 6.9610698960e-01 1.4676550083e-01 1.1523113473e+00 4.2923037450e-01 4.7429878661e+00 3695 3711
1 0.5 0.62 3.0000000000e+00 2.0000000000e+00 1.0536255409e+00 1.4676550083e-01 1.0894511524e+00 4.2923037450e-01 7.1789728165e+00 3695 3711
1 0.5 0.62 4.3843276549e+00 2.9228851032e+00 1.7927610500e+00 1.4676550083e-01 1.0492313504e+00 4.2923037450e-01 1.2215139388e+01 3695 3711
1 0.5 0.62 6.4074429951e+00 4.2716286634e+00 3.1084433119e+00 1.4676550083e-01 1.0297200756e+00 4.2923037450e-01 2.1179659350e+01 3695 3711
1 0.5 0.62 9.3641098401e+00 6.2427398934e+00 5.4419958087e+00 1.4676550083e-01 1.0203796977e+00 4.2923037450e-01 3.7079530121e+01 3695 3711
1 0.5 0.62 1.3685108578e+01 9.1234057189e+00 9.5728224427e+00 1.4676550083e-01 1.0159468483e+00 4.2923037450e-01 6.5225290608e+01 3695 3711
1 0.5 0.62 2.0000000000e+01 1.3333333333e+01 1.6877752113e+01 1.4676550083e-01 1.0138482723e+00 4.2923037450e-01 1.1499808891e+02 3695 3711
1 0.5 0.62 3.9487009717e+01 2.6324673144e+01 4.6754826358e+01 1.4676550083e-01 1.0123913677e+00 4.2923037450e-01 3.1856823364e+02 3695 3711
1 0.5 0.62 7.7961196818e+01 5.1974131212e+01 1.2963519115e+02 1.4676550083e-01 1.0118322581e+00 4.2923037450e-01 8.8328108730e+02 3695 3711
1 0.5 0.62 1.5392272681e+02 1.0261515121e+02 3.5944532496e+02 1.4676550083e-01 1.0113048071e+00 4.2923037450e-01 2.4491131971e+03 3695 3711
1 0.5 0.62 3.0389741047e+02 2.0259827364e+02 9.9630221007e+02 1.4676550083e-01 1.0104246892e+00 4.2923037450e-01 6.7883951231e+03 3695 3711
1 0.5 0.62 6.0000000000e+02 4.0000000000e+02 2.7599863646e+03 1.4676550083e-01 1.0089819936e+00 4.2923037450e-01 1.8805416457e+04 3695 3711
1 0.5 0.7854 5.0100000000e-01 3.3400000000e-01 3.1247824595e-01 2.4019990449e-01 3.0085134460e+00 4.4640052771e-01 1.3009091182e+00 3939 3953
1 0.5 0.7854 5.1708037277e-01 3.4472024851e-01 3.1661886438e-01 2.4019990449e-01 2.9072907370e+00 4.4640052771e-01 1.3181473367e+00 3939 3953
