# Stability checks for fixed-tp Y2 shape ansaetze
# model global_rel loo_holdout_rel loo_holdout_p95 pred_spread_mean pred_spread_max
log_hilltop_plus_const 5.1787692977e-03 1.4056849602e-02 2.6724838598e-02 3.0905030933e-03 6.9800808565e-03
# param roughness sign_changes mean_jk_std
c0 5.9486179429e+00 18 1.8060327515e-02
A 1.9541275148e+00 2 1.7598557206e-02
alpha 2.0301762570e+00 0 3.1533723062e-02
# tp holdout_rel_rmse pred_rel_spread_mean c0_jk_std A_jk_std alpha_jk_std
5.0100000000e-01 1.2148481297e-02 3.2180997118e-03 3.8593077213e-02 3.5631762234e-02 3.6671193489e-02
5.0384893942e-01 1.2139689348e-02 3.2147179924e-03 3.8295239557e-02 3.5357963746e-02 3.6665928050e-02
5.0671407935e-01 1.2127187755e-02 3.2103551839e-03 3.7988413448e-02 3.5075827006e-02 3.6649658753e-02
5.0959551191e-01 1.2109402678e-02 3.2046001016e-03 3.7668155402e-02 3.4781248768e-02 3.6617649355e-02
5.1249332976e-01 1.2097950315e-02 3.2005036347e-03 3.7370397295e-02 3.4507474553e-02 3.6604803845e-02
5.1540762606e-01 1.2090551816e-02 3.1974645653e-03 3.7087520723e-02 3.4247446235e-02 3.6604283251e-02
5.1833849453e-01 1.2076870686e-02 3.1927723158e-03 3.6788334584e-02 3.3972317710e-02 3.6585014057e-02
5.2128602940e-01 1.2060397947e-02 3.1873430683e-03 3.6483521239e-02 3.3691964987e-02 3.6557468622e-02
5.2425032544e-01 1.2048051997e-02 3.1829907562e-03 3.6193791910e-02 3.3425550931e-02 3.6542480431e-02
5.2723147797e-01 1.2036137457e-02 3.1787466642e-03 3.5908054550e-02 3.3162817860e-02 3.6528936628e-02
5.3022958284e-01 1.2023981068e-02 3.1744342403e-03 3.5624248608e-02 3.2901857477e-02 3.6514806711e-02
5.3324473645e-01 1.2012131289e-02 3.1701960295e-03 3.5343793515e-02 3.2643976119e-02 3.6501734059e-02
5.3627703575e-01 1.1996984530e-02 3.1650911545e-03 3.5056595182e-02 3.2379849226e-02 3.6478861743e-02
5.3932657824e-01 1.1980000559e-02 3.1594996012e-03 3.4766555909e-02 3.2113066771e-02 3.6450551813e-02
5.4239346196e-01 1.1971353092e-02 3.1560851438e-03 3.4503186935e-02 3.1870958599e-02 3.6447592040e-02
5.4547778554e-01 1.1960996917e-02 3.1522178997e-03 3.4237298240e-02 3.1626501819e-02 3.6439615434e-02
5.4857964815e-01 1.1942612204e-02 3.1462468734e-03 3.3951198083e-02 3.1363322084e-02 3.6407477633e-02
5.5169914951e-01 1.1927128870e-02 3.1410300152e-03 3.3675918026e-02 3.1110141542e-02 3.6384253489e-02
5.5483638994e-01 1.1917132472e-02 3.1372422739e-03 3.3418513250e-02 3.0873494477e-02 3.6377805126e-02
5.5799147030e-01 1.1903446923e-02 3.1324847956e-03 3.3153101655e-02 3.0629414415e-02 3.6360306936e-02
5.6116449205e-01 1.1889684419e-02 3.1277039030e-03 3.2890124934e-02 3.0387581646e-02 3.6342733066e-02
5.6435555720e-01 1.1875263901e-02 3.1227457092e-03 3.2627645886e-02 3.0146188495e-02 3.6323291449e-02
5.6756476836e-01 1.1858465200e-02 3.1171630905e-03 3.2361202504e-02 2.9901111586e-02 3.6296763670e-02
5.7079222872e-01 1.1845540341e-02 3.1125866620e-03 3.2107726188e-02 2.9668027621e-02 3.6282157319e-02
5.7403804206e-01 1.1835768882e-02 3.1088261583e-03 3.1864868719e-02 2.9444755382e-02 3.6277287615e-02
5.7730231273e-01 1.1819618956e-02 3.1033996569e-03 3.1607400065e-02 2.9207944470e-02 3.6253158184e-02
5.8058514569e-01 1.1800311034e-02 3.0971469921e-03 3.1344035172e-02 2.8965659262e-02 3.6219540210e-02
5.8388664650e-01 1.1788840590e-02 3.0929383298e-03 3.1103353012e-02 2.8744309158e-02 3.6209781525e-02
5.8720692132e-01 1.1777949724e-02 3.0888674207e-03 3.0866642625e-02 2.8526675268e-02 3.6202117057e-02
