# tp A_tp alpha_tp log_rmse rel_rmse
5.1000000000e-01 3.0750531799e+00 8.5836469801e-01 7.7807935559e-02 8.0112547149e-02
5.8447563695e-01 2.6486530775e+00 8.3925122448e-01 7.1841026655e-02 7.3660151692e-02
6.6982700036e-01 2.3052104621e+00 8.1676888005e-01 6.5266390489e-02 6.6623184617e-02
7.6764227977e-01 2.0293137794e+00 7.9073180798e-01 5.8233656863e-02 5.9177273982e-02
8.7974158905e-01 1.8083882539e+00 7.6108900351e-01 5.0949876734e-02 5.1550380828e-02
1.0082108345e+00 1.6321647237e+00 7.2795929322e-01 4.3662932731e-02 4.4001792356e-02
1.1554405288e+00 1.4922455302e+00 6.9165300356e-01 3.6635457382e-02 3.6793936162e-02
1.3241702726e+00 1.3817521559e+00 6.5267304283e-01 3.0114667320e-02 3.0163386189e-02
1.5175397324e+00 1.2950410172e+00 6.1169191943e-01 2.4304838579e-02 2.4297281878e-02
1.7391470621e+00 1.2274761091e+00 5.6950620503e-01 1.9348373446e-02 1.9319419801e-02
1.9931158566e+00 1.1752482665e+00 5.2697513548e-01 1.5318658704e-02 1.5287276663e-02
2.2841718819e+00 1.1352315142e+00 4.8495350100e-01 1.2224606410e-02 1.2198668904e-02
2.6177310110e+00 1.1048684922e+00 4.4422888473e-01 1.0023952327e-02 1.0005089928e-02
3.0000000000e+00 1.0820775579e+00 4.0547125945e-01 8.6394088643e-03 8.6265956551e-03
3.9338926402e+00 1.0529395159e+00 3.3613771314e-01 7.8982563875e-03 7.8925304637e-03
5.1585037683e+00 1.0377739683e+00 2.7868811527e-01 9.0268396197e-03 9.0226650777e-03
6.7643333363e+00 1.0305231692e+00 2.3331004831e-01 1.1093555191e-02 1.1086529251e-02
8.8700537092e+00 1.0275678231e+00 1.9874945479e-01 1.3455579338e-02 1.3441355782e-02
1.1631279668e+01 1.0267834456e+00 1.7318059880e-01 1.5721592839e-02 1.5696580723e-02
1.5252068495e+01 1.0269722971e+00 1.5466857659e-01 1.7688910930e-02 1.7651411597e-02
2.0000000000e+01 1.0275030957e+00 1.4144437970e-01 1.9283893654e-02 1.9233733011e-02
2.8853998118e+01 1.0281808852e+00 1.2945099871e-01 2.0810989118e-02 2.0745885649e-02
4.1627660370e+01 1.0285044256e+00 1.2170732606e-01 2.1668863454e-02 2.1592837748e-02
6.0056221699e+01 1.0282948708e+00 1.1614905158e-01 2.1892331332e-02 2.1810502229e-02
8.6643105394e+01 1.0273838857e+00 1.1113164205e-01 2.1481039483e-02 2.1398020243e-02
1.2500000000e+02 1.0254622073e+00 1.0508049672e-01 2.0286152578e-02 2.0207887218e-02
