# Lattice-only comparison of baseline and crossover xi models
# Fixed wall velocity inferred from file choice
# v_w=0.900000
# nopt_feature=hilltop_log1m fit_Af_alpha_from_PT=0 fixed_A_f=3.9047143556e-01 fixed_alpha_f=1.8499066612e+00
# baseline: xi = tp^(3/2)/fanh_no^2 * [fanh_inf + c*fanh_no^2/tp^q]
# crossover: xi = tp^(3/2)/fanh_no^2 * [fanh_inf + c*fanh_no^2/(tp^q*(1+(tp/tc)^r))]

# hstar model q_mode A_f gamma_f A_inf gamma_inf c q tc r chi2 chi2_red rel_rmse log_rmse n dof success
1.5 baseline fixed 3.9047143556e-01 1.8499066612e+00 1.5134072092e-01 2.2582802732e+00 1.0241139892e+00 1.5000000000e+00 nan nan 1.6974857952e+05 2.6944218971e+03 3.8546471440e-03 3.8583677760e-03 66 63 1
# message `ftol` termination condition is satisfied.
1.5 baseline free 3.9047143556e-01 1.8499066612e+00 1.4856117088e-01 2.1763776119e+00 1.0547096922e+00 1.4668512811e+00 nan nan 6.9492726768e+04 1.1208504317e+03 3.6123701928e-03 3.6009886375e-03 66 62 1
# message `ftol` termination condition is satisfied.
1.5 crossover fixed 3.9047143556e-01 1.8499066612e+00 1.5134072131e-01 2.2582802848e+00 1.0241139877e+00 1.5000000000e+00 1.9142962757e+01 9.8577186650e+00 1.6974857952e+05 2.7827635986e+03 3.8546469894e-03 3.8583676173e-03 66 61 1
# message `ftol` termination condition is satisfied.
1.5 crossover free 3.9047143556e-01 1.8499066612e+00 1.4857713901e-01 2.1767499469e+00 1.0551902409e+00 1.4660490226e+00 1.6301571322e+00 9.9999999994e+00 6.9342552347e+04 1.1557092058e+03 3.1715986277e-03 3.1657993525e-03 66 60 1
# message `ftol` termination condition is satisfied.
2 baseline fixed 3.9047143556e-01 1.8499066612e+00 1.5399728334e-01 2.2167756787e+00 1.0194792055e+00 1.5000000000e+00 nan nan 1.6394453772e+06 2.6022942494e+04 5.7979138471e-03 5.8086173105e-03 66 63 1
# message `ftol` termination condition is satisfied.
2 baseline free 3.9047143556e-01 1.8499066612e+00 1.5342503461e-01 2.1994013411e+00 1.0250340207e+00 1.4953126181e+00 nan nan 1.6319186776e+06 2.6321268993e+04 5.7123995112e-03 5.7190547475e-03 66 62 1
# message `ftol` termination condition is satisfied.
2 crossover fixed 3.9047143556e-01 1.8499066612e+00 1.5399728331e-01 2.2167756784e+00 1.0194792055e+00 1.5000000000e+00 1.9943905793e+01 9.9902001888e+00 1.6394453772e+06 2.6876153724e+04 5.7979138562e-03 5.8086173200e-03 66 61 1
# message `ftol` termination condition is satisfied.
2 crossover free 3.9047143556e-01 1.8499066612e+00 1.5342500987e-01 2.1993998772e+00 1.0250340895e+00 1.4953126508e+00 1.9800782064e+01 9.8433604765e+00 1.6319186776e+06 2.7198644627e+04 5.7124178620e-03 5.7190736064e-03 66 60 1
# message `ftol` termination condition is satisfied.
