# name | n_params | global_log_rmse | global_rel_rmse | c0_rel | logc1_rel | p_rel
c0:poly2_u | logc1:quad_h_p_logc1 | p:lin_c0 | 8 | 5.8607533878e-03 | 5.8755006193e-03 | 1.2933503671e-03 | 4.7307923667e-02 | 6.4849528054e-03
# c0_params 1.9125051518e-01 -1.9568363846e-02 5.4407151068e-01
# logc1_params -6.8247723962e-02 9.5719768221e-01 -2.1048806032e+00
# p_params -1.7116849745e+00 2.6406307023e+00
c0:pow_h_p | logc1:quad_h_p_logc1 | p:lin_c0 | 7 | 6.2159321809e-03 | 6.2353818392e-03 | 2.3803581535e-03 | 4.7307923667e-02 | 6.9231839727e-03
# c0_params 5.4012301318e-01 1.4906181818e-01
# logc1_params -6.8247723962e-02 9.5719768221e-01 -2.1048806032e+00
# p_params -1.7107737558e+00 2.6400849878e+00
c0:pow_h_p | logc1:quad_c0 | p:lin_c0 | 7 | 6.7740723458e-03 | 6.7809107581e-03 | 2.3803581535e-03 | 6.4945459929e-02 | 6.9231839727e-03
# c0_params 5.4012301318e-01 1.4906181818e-01
# logc1_params 1.8914491709e+01 -8.1013038802e+00 -2.3794649927e+00
# p_params -1.7107737558e+00 2.6400849878e+00
c0:pow_h_p | logc1:quad_c0 | p:lin_u | 7 | 7.1820228157e-03 | 7.1839941367e-03 | 2.3803581535e-03 | 6.4945459929e-02 | 8.4549122973e-03
# c0_params 5.4012301318e-01 1.4906181818e-01
# logc1_params 1.8914491709e+01 -8.1013038802e+00 -2.3794649927e+00
# p_params -3.0276032380e-01 1.7691145978e+00
c0:poly2_u | logc1:quad_h_u_logc1 | p:lin_c0 | 8 | 7.3367804262e-03 | 7.3611881211e-03 | 1.2933503671e-03 | 7.3213274402e-02 | 6.4849528054e-03
# c0_params 1.9125051518e-01 -1.9568363846e-02 5.4407151068e-01
# logc1_params -3.9785822187e-01 2.7267271327e+00 -3.5384747900e+00
# p_params -1.7116849745e+00 2.6406307023e+00
c0:pow_h_p | logc1:quad_h_u_logc1 | p:lin_c0 | 7 | 7.5585675025e-03 | 7.5887671474e-03 | 2.3803581535e-03 | 7.3213274402e-02 | 6.9231839727e-03
# c0_params 5.4012301318e-01 1.4906181818e-01
# logc1_params -3.9785822187e-01 2.7267271327e+00 -3.5384747900e+00
# p_params -1.7107737558e+00 2.6400849878e+00
c0:pow_h_p | logc1:quad_h_p_logc1 | p:lin_u | 7 | 7.7288405394e-03 | 7.7227411962e-03 | 2.3803581535e-03 | 4.7307923667e-02 | 8.4549122973e-03
# c0_params 5.4012301318e-01 1.4906181818e-01
# logc1_params -6.8247723962e-02 9.5719768221e-01 -2.1048806032e+00
# p_params -3.0276032380e-01 1.7691145978e+00
c0:pow_h_p | logc1:quad_h_p_logc1 | p:lin_s2 | 7 | 7.9609229393e-03 | 7.9423222422e-03 | 2.3803581535e-03 | 4.7307923667e-02 | 9.1450180724e-03
# c0_params 5.4012301318e-01 1.4906181818e-01
# logc1_params -6.8247723962e-02 9.5719768221e-01 -2.1048806032e+00
# p_params -2.4356224645e-01 1.7395150896e+00
c0:poly2_u | logc1:quad_h_p_logc1 | p:lin_u | 8 | 8.0577184728e-03 | 8.0481935972e-03 | 1.2933503671e-03 | 4.7307923667e-02 | 8.4549122973e-03
# c0_params 1.9125051518e-01 -1.9568363846e-02 5.4407151068e-01
# logc1_params -6.8247723962e-02 9.5719768221e-01 -2.1048806032e+00
# p_params -3.0276032380e-01 1.7691145978e+00
c0:poly2_u | logc1:quad_h_p_logc1 | p:lin_s2 | 8 | 8.2886157065e-03 | 8.2661228194e-03 | 1.2933503671e-03 | 4.7307923667e-02 | 9.1450180724e-03
# c0_params 1.9125051518e-01 -1.9568363846e-02 5.4407151068e-01
# logc1_params -6.8247723962e-02 9.5719768221e-01 -2.1048806032e+00
# p_params -2.4356224645e-01 1.7395150896e+00
c0:pow_h_p | logc1:quad_c0 | p:lin_s2 | 7 | 8.4322592671e-03 | 8.4269619453e-03 | 2.3803581535e-03 | 6.4945459929e-02 | 9.1450180724e-03
# c0_params 5.4012301318e-01 1.4906181818e-01
# logc1_params 1.8914491709e+01 -8.1013038802e+00 -2.3794649927e+00
# p_params -2.4356224645e-01 1.7395150896e+00
c0:pow_h_u | logc1:quad_c0 | p:lin_u | 7 | 8.5551419463e-03 | 8.5623841911e-03 | 8.4649193168e-03 | 1.1930604854e-02 | 8.4549122973e-03
# c0_params 5.4728737355e-01 2.2694695662e-01
# logc1_params -1.9181578666e+01 3.9040339786e+01 -1.6849616812e+01
# p_params -3.0276032380e-01 1.7691145978e+00
