complexity,loss,equation,score,sympy_format,lambda_format
1,0.24682182,u,0.0,u,PySRFunction(X=>u)
3,0.23747277,1.1641884 - one_minus_u2,0.01930686776125889,1.1641884 - one_minus_u2,PySRFunction(X=>1.1641884 - one_minus_u2)
4,0.10965099,u / exp(log_tp),0.7727504607190929,u/exp(log_tp),PySRFunction(X=>u/exp(log_tp))
5,0.0700242,sqrt(u) / exp(log_tp),0.4484616069612496,sqrt(u)*exp(-log_tp),PySRFunction(X=>sqrt(u)*exp(-log_tp))
6,0.024629673,1.6688831 / exp(log_tp + one_minus_u2),1.0448889610374286,1.6688831/exp(log_tp + one_minus_u2),PySRFunction(X=>1.6688831/exp(log_tp + one_minus_u2))
8,0.013830059,exp(u) / exp(log_tp + sqrt(one_minus_u2)),0.2885537618982246,exp(u)*exp(-log_tp - sqrt(one_minus_u2)),PySRFunction(X=>exp(u)*exp(-log_tp - sqrt(one_minus_u2)))
10,0.004975877,3.6978447 / (exp(log_tp + (one_minus_u2 + one_minus_u2)) + 0.6598091),0.5111213876369657,3.6978447/(exp(log_tp + one_minus_u2 + one_minus_u2) + 0.6598091),PySRFunction(X=>3.6978447/(exp(log_tp + one_minus_u2 + one_minus_u2) + 0.6598091))
12,0.004934162,3.8098059 / (exp(((one_minus_u2 + one_minus_u2) + log_tp) / 0.97889024) + 0.69416744),0.0042093927563987225,3.8098059/(exp((log_tp + one_minus_u2 + one_minus_u2)/0.97889024) + 0.69416744),PySRFunction(X=>3.8098059/(exp((log_tp + one_minus_u2 + one_minus_u2)/0.97889024) + 0.69416744))
13,0.0039767777,5.0729866 / (exp((1.3843908 * one_minus_u2) + (log_tp + sqrt(one_minus_u2))) + u),0.215710982710086,5.0729866/(u + exp(log_tp + sqrt(one_minus_u2) + 1.3843908*one_minus_u2)),PySRFunction(X=>5.0729866/(u + exp(log_tp + sqrt(one_minus_u2) + 1.3843908*one_minus_u2)))
15,0.0038345938,(5.039946 / (exp(log_tp + ((one_minus_u2 * 1.4108545) + sqrt(one_minus_u2))) + u)) - -0.017307438,0.018204179107579013,0.017307438 + 5.039946/(u + exp(log_tp + sqrt(one_minus_u2) + 1.4108545*one_minus_u2)),PySRFunction(X=>0.017307438 + 5.039946/(u + exp(log_tp + sqrt(one_minus_u2) + 1.4108545*one_minus_u2)))
17,0.0035643508,5.5122886 / ((exp((sqrt(one_minus_u2) + log_tp) + (one_minus_u2 * 1.5556612)) + u) + (u - 0.7263516)),0.036540788273636625,5.5122886/(2*u + exp(log_tp + sqrt(one_minus_u2) + 1.5556612*one_minus_u2) - 0.7263516),PySRFunction(X=>5.5122886/(2*u + exp(log_tp + sqrt(one_minus_u2) + 1.5556612*one_minus_u2) - 0.7263516))
19,0.0033540528,(5.032619 / (exp((log_tp + sqrt(one_minus_u2)) + (one_minus_u2 * 1.4064595)) + u)) - (-0.013587352 * (inv_one_minus_u2 + u)),0.030406263911145245,0.013587352*inv_one_minus_u2 + 0.013587352*u + 5.032619/(u + exp(log_tp + sqrt(one_minus_u2) + 1.4064595*one_minus_u2)),PySRFunction(X=>0.013587352*inv_one_minus_u2 + 0.013587352*u + 5.032619/(u + exp(log_tp + sqrt(one_minus_u2) + 1.4064595*one_minus_u2)))
21,0.0023095882,(5.032619 / (exp((log_tp + sqrt(one_minus_u2)) + (one_minus_u2 * 1.4064595)) + u)) - ((log_tp + log_tp) * (u * -0.013587352)),0.18655008271525522,0.027174704*log_tp*u + 5.032619/(u + exp(log_tp + sqrt(one_minus_u2) + 1.4064595*one_minus_u2)),PySRFunction(X=>0.027174704*log_tp*u + 5.032619/(u + exp(log_tp + sqrt(one_minus_u2) + 1.4064595*one_minus_u2)))
24,0.0022241087,(5.032619 / (exp((log_tp + sqrt(one_minus_u2)) + (one_minus_u2 * 1.4064595)) + u)) - (((log_tp + log_tp) + sqrt(u)) * (-0.013587352 * u)),0.01257099638350182,0.013587352*u*(2*log_tp + sqrt(u)) + 5.032619/(u + exp(log_tp + sqrt(one_minus_u2) + 1.4064595*one_minus_u2)),PySRFunction(X=>0.013587352*u*(2*log_tp + sqrt(u)) + 5.032619/(u + exp(log_tp + sqrt(one_minus_u2) + 1.4064595*one_minus_u2)))
26,0.0018070549,(4.2808843 / (exp((one_minus_u2 + sqrt(one_minus_u2)) * (log_tp + one_minus_u2)) + (((one_minus_u2 + 0.44671878) * sqrt(one_minus_u2)) + exp(log_tp + one_minus_u2)))) - log(0.94607353),0.10382892904814439,0.0554349856781394 + 4.2808843/(sqrt(one_minus_u2)*(one_minus_u2 + 0.44671878) + exp((log_tp + one_minus_u2)*(sqrt(one_minus_u2) + one_minus_u2)) + exp(log_tp + one_minus_u2)),PySRFunction(X=>0.0554349856781394 + 4.2808843/(sqrt(one_minus_u2)*(one_minus_u2 + 0.44671878) + exp((log_tp + one_minus_u2)*(sqrt(one_minus_u2) + one_minus_u2)) + exp(log_tp + one_minus_u2)))
