# theta0 h tp xi y3 t_scaled nsteps_pt nsteps_noPT
0.2618 1.0171839684e+00 1.0000000000e-04 9.9999947894e-01 1.6581732778e+05 1.6581723926e-01 3283 3283
0.2618 1.0171839684e+00 3.1622776602e-04 1.0000024244e+00 2.9487040835e+04 1.6581731839e-01 3282 3283
0.2618 1.0171839684e+00 1.0000000000e-03 1.0000021810e+00 5.2436184816e+03 1.6581497649e-01 3282 3283
0.2618 1.0171839684e+00 3.1622776602e-03 1.0000213681e+00 9.3247976919e+02 1.6580521554e-01 3280 3283
0.2618 1.0171839684e+00 1.0000000000e-02 1.0001858152e+00 1.6584822559e+02 1.6575970271e-01 3278 3283
0.2618 1.0171839684e+00 1.0000000000e-01 1.0164960323e+00 5.3301057565e+00 1.6575340442e-01 3269 3283
0.2618 1.0171839684e+00 1.0000000000e+00 2.0681565546e+00 3.4293637201e-01 2.5441349449e-01 3260 3283
1.309 1.4629755137e+00 1.0000000000e-04 1.0000010111e+00 2.9194398230e+05 2.9194385169e-01 4992 4992
1.309 1.4629755137e+00 3.1622776602e-04 1.0000003528e+00 5.1915763089e+04 2.9194305562e-01 4992 4992
1.309 1.4629755137e+00 1.0000000000e-03 1.0000021444e+00 9.2320897959e+03 2.9194018266e-01 4991 4992
1.309 1.4629755137e+00 3.1622776602e-03 1.0000146198e+00 1.6417440006e+03 2.9192472762e-01 4989 4992
1.309 1.4629755137e+00 1.0000000000e-02 1.0001559135e+00 2.9198920508e+02 2.9185858635e-01 4986 4992
1.309 1.4629755137e+00 1.0000000000e-01 1.0138224515e+00 9.3596798377e+00 2.9184853780e-01 4975 4992
1.309 1.4629755137e+00 1.0000000000e+00 1.8552559141e+00 5.4163025213e-01 4.1101152673e-01 4968 4992
2.88 5.0739336611e+00 1.0000000000e-04 1.0000000369e+00 7.2111097817e+06 7.2111086334e+00 23257 23258
2.88 5.0739336611e+00 3.1622776602e-04 1.0000000284e+00 1.2823367940e+06 7.2111032632e+00 23256 23258
2.88 5.0739336611e+00 1.0000000000e-03 1.0000005576e+00 2.2803543241e+05 7.2110772230e+00 23255 23258
2.88 5.0739336611e+00 3.1622776602e-03 1.0000060892e+00 4.0551295736e+04 7.2109492208e+00 23252 23258
2.88 5.0739336611e+00 1.0000000000e-02 1.0000595039e+00 7.2115386051e+03 7.2103902759e+00 23248 23258
2.88 5.0739336611e+00 1.0000000000e-01 1.0049243343e+00 2.2915822735e+02 7.2103060729e+00 23239 23258
2.88 5.0739336611e+00 1.0000000000e+00 1.2616141125e+00 9.0976375313e+00 7.9493083556e+00 23239 23258
