# vw  theta0  H_star  beta_over_H  t_p  xi_DM
0.3  0.2618  0.5  4  4.24572260e+00  1.21426894e+01
0.3  0.2618  0.5  4.33055  4.12296122e+00  1.16437908e+01
0.3  0.2618  0.5  4.68841  4.00200075e+00  1.11597205e+01
0.3  0.2618  0.5  5.07584  3.90257604e+00  1.07675019e+01
0.3  0.2618  0.5  5.4953  3.78491722e+00  1.03100627e+01
0.3  0.2618  0.5  5.94941  3.66905930e+00  9.86684763e+00
0.3  0.2618  0.5  6.44105  3.55500228e+00  9.43764352e+00
0.3  0.2618  0.5  6.97332  3.44274616e+00  9.02223745e+00
0.3  0.2618  0.5  7.54957  3.33229094e+00  8.62041651e+00
0.3  0.2618  0.5  8.17344  3.22363662e+00  8.23196781e+00
0.3  0.2618  0.5  8.84887  3.13446704e+00  7.91832189e+00
0.3  0.2618  0.5  9.58011  3.02911437e+00  7.55383602e+00
0.3  0.2618  0.5  10.3718  2.94269616e+00  7.25986088e+00
0.3  0.2618  0.5  11.2289  2.84064515e+00  6.91862194e+00
0.3  0.2618  0.5  12.1568  2.75697832e+00  6.64372075e+00
0.3  0.2618  0.5  13.1614  2.65822895e+00  6.32501219e+00
0.3  0.2618  0.5  14.249  2.57731350e+00  6.06858747e+00
0.3  0.2618  0.5  15.4265  2.49764867e+00  5.82036339e+00
0.3  0.2618  0.5  16.7013  2.41923447e+00  5.58021620e+00
0.3  0.2618  0.5  18.0814  2.34207089e+00  5.34802202e+00
0.3  0.2618  0.5  19.5756  2.28124048e+00  5.16790951e+00
0.3  0.2618  0.5  21.1933  2.20632803e+00  4.94971816e+00
0.3  0.2618  0.5  22.9446  2.14729852e+00  4.78064692e+00
0.3  0.2618  0.5  24.8407  2.08906940e+00  4.61637941e+00
0.3  0.2618  0.5  26.8934  2.01740858e+00  4.41770303e+00
0.3  0.2618  0.5  29.1158  1.96098037e+00  4.26401044e+00
0.3  0.2618  0.5  31.5219  1.91918447e+00  4.15176061e+00
0.3  0.2618  0.5  34.1267  1.86415696e+00  4.00606891e+00
0.3  0.2618  0.5  36.9468  1.80992985e+00  3.86486082e+00
0.3  0.2618  0.5  40  1.76978478e+00  3.76185842e+00
0.3  0.2618  1  4  2.12286130e+00  4.71140220e+00
0.3  0.2618  1  4.33055  2.06148061e+00  4.53943217e+00
